,Date,S&P/Case-Shiller CA-San Francisco Home Price Index,Condo Price Index for San Francisco,Consumer Price Index for All Urban Consumers: Rent,Consumer Price Index for All Urban Consumers: All Items(CBSA),"Total Gross Domestic Product, Millions of Dollars, Annual(MSA)",Mortgage debt-percent with debt,Median debt(inflation adjusted),Percent with Severely Delinquent Debt,"Per Capita Personal Income,Dollars, Annual(MSA)","Resident Population, Thousands of Persons, Annual(MSA)",Unemployment Rate(MSA),All-Transactions House Price Index（MSAD）,Consumer Price Index for All Urban Consumers: Housing（CBSA）,Consumer Price Index for All Urban Consumers: Owners Equivalent Rent（CBSA）,"Economic Conditions Index,percent（MSA）",New Private Housing Structures Authorized by Building Permits（MSA）
187,2002-08-01,141.107919206108000,134.908194656903000,263.300,193.500,,,,,,,6.4,,222.600,274.000,0.55,835.29861232745800
188,2002-09-01,141.850834558813000,135.897706079450000,263.000,,,,,,,,6.2,,,274.000,0.25,1214.36911705456000
189,2002-10-01,142.818282639448000,136.054242518572000,262.500,194.300,,,,,,,6.2,206.68,222.100,273.500,0.27,980.15251700826600
190,2002-11-01,143.633203404793000,136.820796616246000,262.900,,,,,,,,6.3,,,273.100,-0.10,898.57757944534300
191,2002-12-01,143.819258034343000,135.763723501872000,263.800,193.200,,,,,,,6.1,,220.700,273.500,-0.73,1289.88428675292000
192,2003-01-01,143.733887715008000,137.138210688906000,264.000,,250266.606,,,,49260,4153.143,6.6,208.73,,273.800,-0.58,1140.96103006173000
193,2003-02-01,143.850347660471000,137.313992094019000,263.700,197.700,,,,,,,6.4,,224.300,273.700,-0.70,1070.43912531923000
194,2003-03-01,143.956329029710000,136.817072600152000,263.500,,,,,,,,6.5,,,273.000,-0.97,947.31078349500000
195,2003-04-01,144.298728205831000,135.275636303251000,263.300,197.300,,,,,,,6.3,209.66,223.400,273.400,-0.89,1182.02728493455000
196,2003-05-01,144.374816366094000,135.672259464519000,262.700,,,,,,,,6.1,,,273.000,-0.53,1395.93800424184000
197,2003-06-01,144.840332465848000,136.882122109535000,262.300,196.300,,,,,,,6.9,,224.100,272.700,-0.05,905.52988510992600
198,2003-07-01,146.174861496385000,138.364561746807000,262.500,,,,,,,,6.7,211.72,,273.400,0.97,1736.78015242346000
199,2003-08-01,147.795716177281000,140.136670112479000,262.700,196.300,,,,,,,6.5,,224.500,273.900,1.84,1035.46804156640000
200,2003-09-01,149.637017164024000,140.858919984648000,262.300,,,,,,,,6.2,,,273.400,2.37,1222.21164196389000
