,Date,Consumer Price Index for All Urban Consumers: Housing(CBSA),All-Transactions House Price Index(MSAD),S&P/Case-Shiller NY-New York Home Price Index,Consumer Price Index for All Urban Consumers: All Items(CBSA),"New Private Housing Structures Authorized by Building Permits, Units(MSA)","Economic Conditions Index, percent(MSA)","Civilian Labor Force, persons(MSA)",Mortgage debt-percent with debt,Median debt(inflation adjusted),Percent with Severely Delinquent Debt,Consumer Price Index for All Urban Consumers: Owners Equivalent Rent(CBSA),"Per Capita Personal Income, Dollars(MSA)","Resident Population, Thousands of Persons, Annual(MSA)",Consumer Price Index for All Urban Consumers: Rent(CBSA),Unemployment Rate(MSA),"Total Gross Domestic Product, Millions of Dollars(MSA)"
346,2004-11-01,218.400,,182.92980133285500,207.200,5470.2856254133200,1.16,9430860,,,,272.800,,,247.300,5.1,
347,2004-12-01,218.400,,184.60069768077800,206.800,4759.2321863444300,1.29,9431767,,,,273.800,,,248.600,5.0,
348,2005-01-01,221.400,231.03,187.17347503129500,208.100,5016.4777628552700,0.71,9435320,,,,274.100,46445,18798.114,250.000,4.9,1096833.984
349,2005-02-01,222.100,,189.79327929070000,208.900,4995.8150199151400,0.88,9441055,,,,275.400,,,251.100,4.9,
350,2005-03-01,228.500,,193.18711148705600,212.400,5038.8164911807400,1.67,9448846,32.90%,214701.0,0.90%,275.400,,,251.800,4.8,
351,2005-04-01,227.400,241.37,195.16233475993700,212.500,6605.9697270793200,2.61,9460712,,,,276.000,,,252.500,4.8,
352,2005-05-01,224.400,,196.73245426821900,211.400,5365.3968216486200,1.27,9477793,,,,276.100,,,253.600,4.7,
353,2005-06-01,224.900,,198.19761193665300,210.700,5878.0659964806900,1.42,9498392,32.90%,215976.0,0.80%,276.600,,,255.300,4.8,
354,2005-07-01,227.200,250.57,199.81181430515800,212.500,4988.9076971812300,1.52,9519933,,,,277.100,,,257.300,4.8,
355,2005-08-01,227.900,,201.50055663648000,214.100,5189.5715131246100,1.63,9539153,,,,277.000,,,258.300,4.9,
356,2005-09-01,226.600,,204.07507198129500,215.800,5753.9146275336800,0.79,9553728,32.70%,218751.0,0.90%,278.100,,,259.600,5.0,
357,2005-10-01,230.100,258.22,206.68070147603900,216.600,4384.3770216732800,-0.09,9562754,,,,277.700,,,261.500,5.0,
358,2005-11-01,229.300,,209.32312262626100,215.300,5769.9567717721100,1.59,9566618,,,,278.200,,,262.400,5.0,
359,2005-12-01,228.500,,212.05440825492800,214.200,4799.3406671072600,2.45,9566144,32.50%,222198.0,0.90%,278.400,,,261.900,4.9,
360,2006-01-01,230.600,263.64,213.50693015326800,215.900,5831.1341015994400,3.04,9564415,,,,280.100,50442,18825.633,262.400,4.9,1152815.433
361,2006-02-01,230.900,,215.05629958037900,216.400,6240.0350808572200,2.11,9564617,,,,282.700,,,264.700,4.8,
362,2006-03-01,233.400,,215.71934099411300,218.200,5852.0655866621200,2.02,9568033,33.40%,226778.0,0.90%,285.000,,,265.600,4.8,
363,2006-04-01,236.000,265.86,216.43353422727500,220.200,4700.0948315713400,1.41,9573543,,,,288.700,,,266.800,4.8,
364,2006-05-01,237.800,,216.61966399690500,221.600,4978.3361361706300,1.61,9578583,,,,291.500,,,267.800,4.8,
365,2006-06-01,240.600,,216.19557545463200,222.600,4541.4928384692200,1.47,9581818,33.60%,228868.0,0.90%,294.000,,,269.200,4.7,
366,2006-07-01,242.100,267.87,215.05063057706800,223.100,4545.7055581748600,0.85,9584250,,,,295.200,,,269.600,4.6,
367,2006-08-01,243.100,,213.09796305522400,224.100,5644.9868139656200,1.30,9588864,,,,296.800,,,271.200,4.5,
368,2006-09-01,241.400,,213.02635043940400,222.900,4939.9451613491000,1.48,9596756,33.70%,231142.0,1.00%,297.300,,,273.000,4.4,
369,2006-10-01,239.900,269.59,213.02894244613200,221.700,4275.7045625686500,1.45,9606543,,,,297.800,,,273.300,4.3,
370,2006-11-01,239.700,,213.16102046980300,220.900,4456.1212421337200,1.82,9615418,,,,298.400,,,274.800,4.2,
371,2006-12-01,240.800,,213.25477280221200,221.300,4594.4301199708600,2.52,9619962,33.20%,235123.0,1.10%,297.500,,,276.100,4.2,
372,2007-01-01,241.419,270.61,212.91240126989600,221.767,5544.8944141713900,2.68,9618794,,,,298.429,54313,18901.167,277.140,4.2,1197369.232
