,Date,Consumer Price Index for All Urban Consumers: Rent(CBSA),All-Transactions House Price Index(MSAD),New Private Housing Units Authorized by Building Permits: 1-Unit Structures(MSA),Consumer Price Index for All Urban Consumers: housing(CBSA),Consumer Price Index for All Urban Consumers: All items(CBSA),Economic Conditions Index(MSA),"Total Gross Domestic Product for Dallas,Millions of Dollars(MSA)",S&P/Case-Shiller TX-Dallas Home Price Index,Mortgage debt-percent with debt,Median debt(inflation adjusted),Percent with Severely Delinquent Debt,Consumer Price Index for All Urban Consumers: Owners Equivalent Rent(CBSA),"Civilian Labor Force in Dallas,persons(MSA)","Per Capita Personal Income,persons,Dollars, Annual(MSA)","Resident Population, Thousands of Persons, Annual(MSA)","Unemployment Rate, percent(MSA)"
372,1994-11-01,130.200,,1765.6782534055200,,,5.36,,,,,,,2494791,,,4.8
373,1994-12-01,131.500,,1813.1229172303100,128.900,141.900,5.18,,,,,,,2490434,,,4.3
374,1995-01-01,132.200,100.00,1706.7296502981100,,,4.99,,,,,,141.700,2478850,25026,,5.2
375,1995-02-01,132.600,,1594.2340318744900,131.600,143.300,4.91,,,,,,,2481686,,,4.7
376,1995-03-01,132.800,,1775.4391788334500,,,4.29,,,,,,,2493753,,,4.5
377,1995-04-01,132.900,101.52,1522.3609563307500,131.500,145.000,3.73,,,,,,,2504870,,,4.7
378,1995-05-01,133.000,,1755.9004456192000,,,3.90,,,,,,,2502774,,,4.6
379,1995-06-01,132.600,,1788.1950620575600,131.500,144.400,4.09,,,,,,,2538555,,,5.1
380,1995-07-01,132.700,103.23,1799.8271508538300,,,4.10,,,,,,,2556856,,,5.1
381,1995-08-01,133.100,,1986.3127490467900,132.600,145.100,4.83,,,,,,,2543910,,,4.9
382,1995-09-01,133.900,,1982.2667831515400,,,5.14,,,,,,,2534484,,,4.9
383,1995-10-01,134.600,103.98,2028.6379568299900,133.800,146.800,5.26,,,,,,,2543492,,,4.6
384,1995-11-01,135.000,,2074.0953829758000,,,5.28,,,,,,,2538525,,,4.5
385,1995-12-01,135.300,,2036.0986854589300,132.300,145.500,5.26,,,,,,,2532252,,,4.2
386,1996-01-01,135.800,104.99,2272.1471199684800,,,5.22,,,,,,147.600,2523351,26533,,4.9
387,1996-02-01,136.300,,2270.0713187147100,132.200,146.200,5.32,,,,,,,2529807,,,4.4
388,1996-03-01,136.300,,2075.9304706945200,,,5.10,,,,,,,2546854,,,4.3
